longissimus cervicis,C4,22.93672299,2.969067981,3.259534756,T1,34.37185,-18.73939955,0.257714787,T1,36.2207,-15.93496392,20.55463719,,,,
longissimus cervicis,C5,22.92708732,1.337532106,3.374640231,T1,33.6398,-9.628058017,18.41385202,T1,36.2207,-15.93496392,20.55463719,,,,
longus capitis,skull,6.186574171,-75.40891023,-43.38175287,C3,21.92472043,6.846987271,3.644191487,C2,20.98629951,17.31419539,9.660853525,,,,
longus capitis,skull,6.186574171,-75.40891023,-43.38175287,C4,20.18788537,7.533223379,2.112758357,C2,17.9149891,18.82267318,9.912182302,,,,
longus capitis,skull,6.186574171,-75.40891023,-43.38175287,C5,16.96121206,9.22338415,4.137419843,C2,14.25371855,20.09787454,10.20880506,,,,
longus capitis,skull,6.186574171,-75.40891023,-43.38175287,C6,19.6969848,14.2194057,8.794535033,C2,9.427402331,20.64784768,9.793993245,,,,
cervical rotators,C1,5.677387033,-1.285474922,1.04712356,C2,21.54791745,-11.84978607,-3.041838972,,,,,,,,
cervical rotators,C1,5.677387033,-1.285474922,1.04712356,C3,20.63226424,-12.84276795,3.008159362,,,,,,,,
cervical rotators,C2,9.738211829,-20.04093524,-7.383613942,C3,20.63226424,-12.84276795,3.008159362,,,,,,,,
cervical rotators,C2,9.738211829,-20.04093524,-7.383613942,C4,18.83307605,-11.99921622,7.074659929,,,,,,,,
cervical rotators,C3,6.480658182,-20.85464881,-0.498005098,C4,18.83307605,-11.99921622,7.074659929,,,,,,,,
cervical rotators,C3,6.480658182,-20.85464881,-0.498005098,C5,16.00339346,-19.38562093,9.000986405,,,,,,,,
cervical rotators,C4,5.508075842,-22.40289279,-0.810904115,C5,16.00339346,-19.38562093,9.000986405,,,,,,,,
cervical rotators,C4,5.508075842,-22.40289279,-0.810904115,C6,16.83186053,-19.18362322,9.797888343,,,,,,,,
cervical rotators,C5,5.499069673,-22.21921213,3.530063992,C6,16.83186053,-19.18362322,9.797888343,,,,,,,,
cervical rotators,C5,5.499069673,-22.21921213,3.530063992,C7,20.75018717,-14.18689815,15.55529677,,,,,,,,
cervical rotators,C6,5.6191351,-29.49578794,2.142042546,C7,20.75018717,-14.18689815,15.55529677,,,,,,,,
cervical rotators,C6,5.6191351,-29.49578794,2.142042546,T1,23.2,-12.16402079,11.82565599,,,,,,,,
cervical rotators,C7,6.753311417,-32.78600543,-3.426498864,T1,23.2,-12.16402079,11.82565599,,,,,,,,
cervical rotators,C7,6.753311417,-32.78600543,-3.426498864,T1,23.5,-18.40997888,-3.634568294,,,,,,,,
splenius capitis,skull,54.62702536,-120.0821512,-48.13303036,C4,1.622928359,-42.21374602,-8.295908211,C1,28.79443723,-5.554012625,-2.699916337,,,,
splenius capitis,skull,60.01280209,-117.9725482,-44.56204487,C5,0.789991175,-51.42401706,-10.68622493,C1,32.32233174,-0.702554679,0.933890186,,,,
splenius capitis,skull,64.198808,-114.9040347,-42.73740979,C6,2.409764722,-63.76421173,-11.73879749,C1,34.91106135,3.521828372,1.670578897,,,,
splenius capitis,skull,66.56329239,-111.7096643,-39.52171628,C7,1.448575142,-55.16058068,-11.27235623,C1,37.58509149,8.077428122,4.824863788,,,,
splenius capitis,skull,68.14026228,-107.9998794,-39.7565703,T1,1.8725,-44.50976931,-14.29147546,C1,39.29671132,12.51918467,6.984859371,C7,20.13986729,-50.52580897,-10.15594401
